source	target
GO:0021602	GO:0021631
GO:0021602	GO:0021644
GO:0021602	GO:0021618
GO:0048856	GO:0001568
GO:0048856	GO:0048468
GO:0048856	GO:0048513
GO:0048856	GO:0009888
GO:0048856	GO:0048857
GO:0048856	GO:0021681
GO:0048856	GO:0031099
GO:0048856	GO:0060465
GO:0048856	GO:0021543
GO:0048856	GO:0035905
GO:0048856	GO:0061196
GO:0048856	GO:0035295
GO:0048856	GO:0021548
GO:0048856	GO:0003279
GO:0048856	GO:0003170
GO:0048856	GO:0035906
GO:0048856	GO:0030901
GO:0048856	GO:0007275
GO:0048856	GO:0048731
GO:0048856	GO:0021542
GO:0048856	GO:0021546
GO:0048856	GO:0060166
GO:0048856	GO:0036306
GO:0048856	GO:0007497
GO:0048856	GO:0060430
GO:0048856	GO:0007418
GO:0048856	GO:0061034
GO:0048856	GO:0003157
GO:0048856	GO:0021675
GO:0048856	GO:0001945
GO:0048856	GO:0021539
GO:0048856	GO:0021772
GO:0048856	GO:0021794
GO:0048856	GO:0060023
GO:0048856	GO:0021769
GO:0048856	GO:0030900
GO:0048856	GO:0070121
GO:0048856	GO:0021723
GO:0048856	GO:0021517
GO:0048856	GO:0035844
GO:0048856	GO:0061303
GO:0048856	GO:0060021
GO:0048856	GO:0061377
GO:0048856	GO:0035801
GO:0048856	GO:0002088
GO:0048856	GO:0030902
GO:0048856	GO:0060324
GO:0048856	GO:0021764
GO:0048856	GO:0030917
GO:0048856	GO:0021678
GO:0048856	GO:0032835
GO:0048856	GO:0021536
GO:0048856	GO:0021670
GO:0048856	GO:0033504
GO:0048856	GO:0021986
GO:0048856	GO:0003205
GO:0048856	GO:0021516
GO:0048856	GO:0044691
GO:0048856	GO:0021766
GO:0048856	GO:0021549
GO:0048856	GO:0003360
GO:0048856	GO:0022037
GO:0048856	GO:0071109
GO:0048856	GO:0060996
GO:0048856	GO:0021544
GO:0048856	GO:0072006
GO:0048856	GO:0061360
GO:0048856	GO:0072051
GO:0048856	GO:0060711
