name,fn_met_active_neigh,genes,max,min,weight
11947,0.659685864,PLA2G2F,0.7,0.6,0.566835871
6302,0.659638554,SLC35C1,0.7,0.6,0.566835871
2392,0.659594096,ALDH2,0.7,0.6,0.566835871
3952,0.659553831,GPD1L,0.7,0.6,0.566835871
18815,0.659520807,EPHX1,0.7,0.6,0.566835871
3236,0.658914729,SORD,0.7,0.6,0.566835871
18965,0.658415842,HTD2,0.7,0.6,0.566835871
2998,0.658263305,MGLL,0.7,0.6,0.566835871
18737,0.657894737,ACSF3,0.7,0.6,0.566835871
5176,0.657827203,GPD1,0.7,0.6,0.566835871
17587,0.657422512,SLC2A14,0.7,0.6,0.566835871
10396,0.657250471,FMO3,0.7,0.6,0.566835871
1696,0.657068063,PGLS,0.7,0.6,0.566835871
5954,0.656765677,LIPT2,0.7,0.6,0.566835871
2591,0.656626506,PGS1,0.7,0.6,0.566835871
18477,0.656370656,UPP2,0.7,0.6,0.566835871
13476,0.656353591,PDK1,0.7,0.6,0.566835871
10755,0.656024717,HMGCS2,0.7,0.6,0.566835871
14898,0.655948553,ALDH7A1,0.7,0.6,0.566835871
10239,0.6558753,ACAT2,0.7,0.6,0.566835871
8276,0.655870445,CYP3A4,0.7,0.6,0.566835871
17481,0.65560166,NAT1,0.7,0.6,0.566835871
12884,0.655555556,AKR1C2,0.7,0.6,0.566835871
521,0.655270655,MT4,0.7,0.6,0.566835871
18673,0.655063291,MT1A,0.7,0.6,0.566835871
1782,0.655052265,G6PC,0.7,0.6,0.566835871
8222,0.655,SLC22A8,0.7,0.6,0.566835871
947,0.654117647,B3GAT2,0.7,0.6,0.566835871
438,0.653985507,PCK2,0.7,0.6,0.566835871
11816,0.65391015,PTPN20A,0.7,0.6,0.566835871
11832,0.653739612,MDH1B,0.7,0.6,0.566835871
13860,0.653658537,SULT1A1,0.7,0.6,0.566835871
18937,0.653491436,PIG6,0.7,0.6,0.566835871
12713,0.653465347,MT1M,0.7,0.6,0.566835871
10930,0.653256705,GCLM,0.7,0.6,0.566835871
10157,0.653061224,GNPAT,0.7,0.6,0.566835871
1471,0.652892562,L3HYPDH,0.7,0.6,0.566835871
8335,0.652694611,UGP2,0.7,0.6,0.566835871
15894,0.652406417,FBP1,0.7,0.6,0.566835871
858,0.652108434,DGAT2,0.7,0.6,0.566835871
4108,0.652083333,CYP2C18,0.7,0.6,0.566835871
7988,0.651785714,CYP4Z1,0.7,0.6,0.566835871
7986,0.651685393,ATP4B,0.7,0.6,0.566835871
18117,0.651291513,SLC16A3,0.7,0.6,0.566835871
11012,0.651041667,ENSG00000267561,0.7,0.6,0.566835871
1865,0.650969529,ALDH3B2,0.7,0.6,0.566835871
5380,0.650632911,GOT1L1,0.7,0.6,0.566835871
12733,0.650574713,GLRX,0.7,0.6,0.566835871
2637,0.650176678,DHTKD1,0.7,0.6,0.566835871
598,0.650125628,GSR,0.7,0.6,0.566835871
3721,0.649698016,GLUD1,0.7,0.6,0.566835871
8556,0.64957265,UGT2B15,0.7,0.6,0.566835871
13191,0.649390244,UROC1,0.7,0.6,0.566835871
6250,0.6492891,ACAD9,0.7,0.6,0.566835871
2650,0.649155722,SLC27A5,0.7,0.6,0.566835871
13851,0.648979592,ASAH2,0.7,0.6,0.566835871
2102,0.648910412,NUDT15,0.7,0.6,0.566835871
8555,0.648862512,ACACB,0.7,0.6,0.566835871
827,0.64882227,SULT1E1,0.7,0.6,0.566835871
2288,0.648697215,GYS2,0.7,0.6,0.566835871
12048,0.6485623,CLCNKB,0.7,0.6,0.566835871
15117,0.648531952,TKT,0.7,0.6,0.566835871
7596,0.648424544,UPP1,0.7,0.6,0.566835871
18783,0.648,PLCD3,0.7,0.6,0.566835871
18473,0.647953216,ALDH3B1,0.7,0.6,0.566835871
11404,0.647727273,DOLPP1,0.7,0.6,0.566835871
7017,0.647704591,BCAT2,0.7,0.6,0.566835871
1154,0.647619048,GDA,0.7,0.6,0.566835871
2690,0.647230321,P2RX3,0.7,0.6,0.566835871
2769,0.647058824,ACCS,0.7,0.6,0.566835871
8999,0.647058824,ALDH3A2,0.7,0.6,0.566835871
18801,0.646396396,ALG1L2,0.7,0.6,0.566835871
14945,0.646387833,UGT2B11,0.7,0.6,0.566835871
10138,0.64633141,FH,0.7,0.6,0.566835871
4312,0.64612326,CBR3,0.7,0.6,0.566835871
4131,0.646103896,NAT2,0.7,0.6,0.566835871
2816,0.646074646,TREH,0.7,0.6,0.566835871
1378,0.646043165,GOT2,0.7,0.6,0.566835871
15647,0.646017699,LACTBL1,0.7,0.6,0.566835871
781,0.645783133,PIGL,0.7,0.6,0.566835871
2116,0.645756458,MTHFS,0.7,0.6,0.566835871
8068,0.64516129,MT1B,0.7,0.6,0.566835871
2803,0.644946809,SLC9A1,0.7,0.6,0.566835871
5122,0.644787645,SLC27A4,0.7,0.6,0.566835871
10757,0.644757433,HSD3B1,0.7,0.6,0.566835871
1312,0.644654088,PLA2G12A,0.7,0.6,0.566835871
15849,0.644646925,MOGAT1,0.7,0.6,0.566835871
6826,0.644444444,FAXDC2,0.7,0.6,0.566835871
3979,0.644268775,UXS1,0.7,0.6,0.566835871
7974,0.644230769,CYP27C1,0.7,0.6,0.566835871
8814,0.644117647,UGT1A10,0.7,0.6,0.566835871
4534,0.644097222,AZIN2,0.7,0.6,0.566835871
6412,0.643962848,SLC28A2,0.7,0.6,0.566835871
7210,0.643926789,MAT2B,0.7,0.6,0.566835871
1952,0.643911439,AMPD2,0.7,0.6,0.566835871
2469,0.643734644,LPCAT2,0.7,0.6,0.566835871
2928,0.643642072,MTRR,0.7,0.6,0.566835871
5530,0.643564356,UGT2B7,0.7,0.6,0.566835871
1635,0.643497758,UGT2A3,0.7,0.6,0.566835871
11418,0.643459916,SLC22A7,0.7,0.6,0.566835871
9257,0.643366619,TAT,0.7,0.6,0.566835871
14630,0.643115942,FAH,0.7,0.6,0.566835871
11278,0.642857143,CYP4X1,0.7,0.6,0.566835871
6643,0.642754663,MPI,0.7,0.6,0.566835871
6741,0.642673522,SULT1C2,0.7,0.6,0.566835871
6118,0.642512077,ACOT1,0.7,0.6,0.566835871
4247,0.642504119,HPD,0.7,0.6,0.566835871
12362,0.642480211,ALDH1B1,0.7,0.6,0.566835871
9688,0.642156863,RPE,0.7,0.6,0.566835871
16988,0.642156863,GSTK1,0.7,0.6,0.566835871
15491,0.641904762,CCBL1,0.7,0.6,0.566835871
18823,0.641791045,ENSG00000250719,0.7,0.6,0.566835871
6760,0.641776938,PCK1,0.7,0.6,0.566835871
2926,0.641630901,NNT,0.7,0.6,0.566835871
8499,0.641558442,NMNAT3,0.7,0.6,0.566835871
3078,0.641536273,ALDH8A1,0.7,0.6,0.566835871
3561,0.641509434,AP1AR,0.7,0.6,0.566835871
700,0.641193595,OGDH,0.7,0.6,0.566835871
3845,0.641098485,OXSM,0.7,0.6,0.566835871
12066,0.641025641,CLIC1,0.7,0.6,0.566835871
16567,0.640661939,PDK2,0.7,0.6,0.566835871
9929,0.640583554,PNP,0.7,0.6,0.566835871
11272,0.64040404,SARDH,0.7,0.6,0.566835871
13751,0.64028777,SLC9B2,0.7,0.6,0.566835871
4216,0.640243902,DHRS1,0.7,0.6,0.566835871
12552,0.640138408,HAO1,0.7,0.6,0.566835871
12168,0.64,IDNK,0.7,0.6,0.566835871
8619,0.639917695,AGMO,0.7,0.6,0.566835871
410,0.639825898,PYGL,0.7,0.6,0.566835871
8054,0.639751553,MT1F,0.7,0.6,0.566835871
6656,0.639737991,PRTFDC1,0.7,0.6,0.566835871
1818,0.639669421,HSD17B7,0.7,0.6,0.566835871
19072,0.639575972,MGST2,0.7,0.6,0.566835871
18552,0.63943662,ENSG00000279624,0.7,0.6,0.566835871
16565,0.639429313,HSD17B4,0.7,0.6,0.566835871
7826,0.639344262,ENPP7,0.7,0.6,0.566835871
13542,0.639344262,BPGM,0.7,0.6,0.566835871
13594,0.639213276,G6PD,0.7,0.6,0.566835871
11567,0.639194139,MOCS1,0.7,0.6,0.566835871
13996,0.639042357,SLC12A1,0.7,0.6,0.566835871
5899,0.638961039,SULT1B1,0.7,0.6,0.566835871
4657,0.638935108,CDS1,0.7,0.6,0.566835871
5174,0.638795987,CYP2A6,0.7,0.6,0.566835871
7243,0.638506876,CYP11B2,0.7,0.6,0.566835871
19146,0.638372093,HAO2,0.7,0.6,0.566835871
3712,0.638297872,IDI2,0.7,0.6,0.566835871
18504,0.638297872,UGT2A2,0.7,0.6,0.566835871
4381,0.637681159,FTCD,0.7,0.6,0.566835871
16763,0.637462236,ADH1C,0.7,0.6,0.566835871
4940,0.637426901,AKR1E2,0.7,0.6,0.566835871
1299,0.637168142,FAAH,0.7,0.6,0.566835871
9389,0.637119114,POX2,0.7,0.6,0.566835871
5257,0.637096774,SLC22A11,0.7,0.6,0.566835871
16283,0.637096774,SLC15A2,0.7,0.6,0.566835871
5959,0.637055838,SLC26A7,0.7,0.6,0.566835871
2241,0.636781609,CCBL2,0.7,0.6,0.566835871
3055,0.636713736,HIBADH,0.7,0.6,0.566835871
11948,0.63670412,PLA2G2D,0.7,0.6,0.566835871
217,0.636684303,OXCT1,0.7,0.6,0.566835871
918,0.636363636,CMAS,0.7,0.6,0.566835871
4005,0.636363636,RPIA,0.7,0.6,0.566835871
4316,0.636363636,C2orf81,0.7,0.6,0.566835871
